previous_event,current_event,transition_count,transition_pct
add_to_cart,view_item,37523,67.78
add_to_cart,add_to_cart,12699,22.94
add_to_cart,begin_checkout,3057,5.52
add_to_cart,session_start,2073,3.74
add_to_cart,purchase,5,0.01
begin_checkout,begin_checkout,25800,71.66
begin_checkout,purchase,5302,14.73
begin_checkout,view_item,2883,8.01
begin_checkout,session_start,1892,5.26
begin_checkout,add_to_cart,124,0.34
purchase,session_start,2387,66.47
purchase,view_item,744,20.72
purchase,purchase,325,9.05
purchase,begin_checkout,76,2.12
purchase,add_to_cart,59,1.64
session_start,view_item,74250,55.11
session_start,session_start,58991,43.78
session_start,add_to_cart,1166,0.87
session_start,begin_checkout,318,0.24
session_start,purchase,5,0.0
view_item,view_item,269306,77.76
view_item,add_to_cart,44479,12.84
view_item,session_start,22994,6.64
view_item,begin_checkout,9494,2.74
view_item,purchase,55,0.02
